name,artist,spotify_id,preview,img,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,acousticness_artist,danceability_artist,energy_artist,instrumentalness_artist,liveness_artist,speechiness_artist,valence_artist
Round Here Buzz,Eric Church,52ioLaTnO2J7BWY8UN2n9D,no,no,0.638,0.441,-9.064,0.0347,0.0422,1.33e-05,0.107,0.473,0.19364383739837404,0.5913902439024393,0.6734569105691058,0.00505966414634146,0.18140569105691065,0.039795121951219495,0.6277398373983737
Sweeter (feat. Terrace Martin),Leon Bridges,1ehhGlTvjtHo2e4xJFB0SZ,no,no,0.7190000000000001,0.385,-10.907,0.0403,0.0167,0.0313,0.111,0.27,0.41894242424242417,0.6148181818181818,0.4974242424242425,0.011212359393939391,0.1278939393939394,0.04808181818181817,0.4389090909090911
Mouth Of The River,Imagine Dragons,1dekgAFF9uTCqLsklDaCWb,no,no,0.483,0.907,-7.015,0.0413,0.00183,0.0509,0.152,0.29600000000000004,0.145981076923077,0.5217606837606836,0.7152905982905988,0.012033913846153843,0.211565811965812,0.0615094017094017,0.3703606837606837
Life,"""Desree""",5LGqFIVBf3ZUeFBpc87CFS,no,no,0.721,0.74,-5.4529999999999985,0.0416,0.112,4.120000000000001e-05,0.0848,0.7140000000000001,0.112,0.721,0.74,4.120000000000001e-05,0.0848,0.0416,0.7140000000000001
Don't It,Billy Currington,4iLPK8QnOvqm0Azbsk2GDn,no,no,0.5710000000000001,0.826,-4.475,0.0362,0.0446,0.0,0.343,0.713,0.19168703703703704,0.6444444444444442,0.7215925925925923,6.761185185185186e-05,0.14484074074074071,0.03401111111111111,0.5994074074074076
Fine By Time,YoungBoy Never Broke Again,0KVEBQA98JvkmB5ZydQ13k,no,no,0.506,0.787,-6.634,0.161,0.254,0.0,0.112,0.333,0.19854981132075467,0.7049811320754721,0.6665974842767295,6.610062893081759e-08,0.16261509433962262,0.2635949685534591,0.5361635220125784
Castaway,Zac Brown Band,5PNcJn4oFNvlRfrZBHfqWh,no,no,0.611,0.782,-4.989,0.0474,0.147,0.0,0.115,0.915,0.2686987999999999,0.5963263157894739,0.6462715789473683,0.0011751135789473688,0.14836000000000005,0.03905684210526315,0.530157894736842
I’ll Make It Up To You,Imagine Dragons,0FfX0nofboxZjP0diT1eFv,no,no,0.328,0.674,-7.487999999999999,0.105,0.0076700000000000015,0.0398,0.29,0.129,0.145981076923077,0.5217606837606836,0.7152905982905988,0.012033913846153843,0.211565811965812,0.0615094017094017,0.3703606837606837
Extinction,Killstation,3nF5bxOE63ZU6JiU4IJQB8,no,no,0.5489999999999999,0.4970000000000001,-8.645,0.22,0.00436,0.0,0.0698,0.113,0.189972,0.4794,0.5544,0.053000000000000005,0.08235999999999999,0.294,0.15392
For You,Trevor Daniel,2IuiwVQPn4r3g2FR5mfv1R,no,no,0.611,0.667,-7.507999999999999,0.0626,0.0843,6.02e-06,0.09,0.349,0.119075,0.69925,0.5465,2.4425e-06,0.092175,0.0433375,0.2553
Black Rover,Vickeblanka,04LCCxG3pbOYeENiyUc7Xb,no,no,0.599,0.932,-5.622000000000001,0.0407,0.00215,0.0,0.146,0.539,0.00147,0.5925,0.912,2.025e-06,0.153,0.0378,0.6020000000000001
More than Close,Oneke,4mnfRzyz2dafyBaXBLZle2,no,no,0.413,0.0433,-26.51,0.0538,0.995,0.919,0.108,0.223,0.993,0.3175,0.05085,0.9325,0.10400000000000001,0.043,0.13505
Institution,Kodak Black,2G6PeWL4JanUge47LNdFtJ,no,no,0.672,0.457,-10.647,0.205,0.4920000000000001,0.0,0.184,0.596,0.19365794117647064,0.7682794117647059,0.5899411764705882,6.5399999999999975e-06,0.15502794117647056,0.18650441176470595,0.4453382352941177
Tears (feat. Louisa Johnson),Clean Bandit,7py16W5fWYLFFS6BElKAjn,no,no,0.605,0.77,-3.645,0.0446,0.0431,0.0,0.159,0.298,0.15282500000000002,0.7179166666666666,0.6835833333333333,0.00102677,0.21904166666666666,0.04315833333333333,0.5019999999999999
Beach Waves and Soothing Brown Noise,Sleep Baby Sleep,0tIkLggEJ9QriD7KFz1GGA,no,no,0.0,0.000252,-17.746,0.0,0.00948,0.877,0.8059999999999999,0.0,0.2913102025,0.06637499999999999,0.15080202499999998,0.6174499999999999,0.5307499999999999,0.038825,0.011875
